job title,company name,location,salary,type of employment,skills,links
Senior Web Developer (PHP),MTS -,"Heliopolis, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS · Computer Science · Engineering · HTML5 · Information Technology (IT) · JavaScript · jQuery · MVC,https://wuzzuf.net/jobs/p/IJr79DEIx3sh-Senior-Web-Developer-PHP-MTS-Cairo-Egypt?o=18&l=sp&t=sj&a=php|search-v3|hpb
PHP Web Developer,(MSA) October University -,"6th of October, Giza, Egypt ","Confidential, Transportation, Discounts, and Fully covered Training sessions",['Full Time'],Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · HTML5 · JavaScript · CSS3 · Web Development · PHP · Laravel,https://wuzzuf.net/jobs/p/pncuqKPiAUDf-PHP-Web-Developer-MSA-October-University-Giza-Egypt?o=19&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer (Laravel) (Hybrid),Naqla -,"Nasr City, Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · PHP · Programming · Software Development · Software Engineering · Computer Science · AWS · Information Technology (IT),https://wuzzuf.net/jobs/p/La2QrS3kPFjw-Senior-PHP-Developer-Laravel-Hybrid-Naqla-Cairo-Egypt?o=20&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer - Remote,GetTechForce.com -,"Alexandria, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · AWS · Computer Science · CSS · Design · Git · HTML · Information Technology (IT),https://wuzzuf.net/jobs/p/OetZgvk7X8QJ-Senior-PHP-Developer---Remote-GetTechForce-com-Alexandria-Egypt?o=21&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Backend Developer,Queen Tech Solutions -,"Heliopolis, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · Web Development · OOP · javaScript · jQuery,https://wuzzuf.net/jobs/p/uZTkDgzE2LlN-Senior-PHP-Backend-Developer-Queen-Tech-Solutions-Cairo-Egypt?o=22&l=sp&t=sj&a=php|search-v3|hpb
Junior PHP Developer,Lex -,"San Stefano, Alexandria, Egypt ",Confidential,['Full Time'],Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · Computer Science · Docker · Laravel Framework · Laravel · Nginx · Elasticsearch · Logstash,https://wuzzuf.net/jobs/p/opLAVmoTL0PC-Junior-PHP-Developer-Lex-Alexandria-Egypt?o=23&l=sp&t=sj&a=php|search-v3|hpb
Intermediate PHP Developer,Confidential -,"San Stefano, Alexandria, Egypt ",Confidential,['Full Time'],Experienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · laravel · Information Technology (IT) · Computer Science · Software Development · Software · MySQL · HTML,https://wuzzuf.net/jobs/p/JVjbHY7Y1reN-Intermediate-PHP-Developer-Alexandria-Egypt?o=24&l=sp&t=sj&a=php|search-v3|hpb
Senior PHP Developer,LINK Development -,"Maadi, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Linux · PHP · SQL · OOP · Symphony · Laravel · WordPress · Drupal,https://wuzzuf.net/jobs/p/aNMr0ugXhZNN-Senior-PHP-Developer-LINK-Development-Cairo-Egypt?o=25&l=sp&t=sj&a=php|search-v3|hpb
PHP Engineering Manager - Jumia,Jumia -,"Cairo, Egypt ","Confidential, Bonus, Medical Insurance, Life Insurance",['Full Time'],Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Agile · Software Development · Information Technology (IT) · Laravel · Node.js · JavaScript · PHP,https://wuzzuf.net/jobs/p/xNklNjL7yEnh-PHP-Engineering-Manager---Jumia-Jumia-Cairo-Egypt?o=26&l=sp&t=sj&a=php|search-v3|hpb
"Full Stack Developer (PHP, Laravel, React)",Keswa -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · CSS · HTML · JavaScript · jQuery · MySQL · PHP · Next.js · React.js · Laravel,https://wuzzuf.net/jobs/p/xDwRR0TvbdHa-Full-Stack-Developer-PHP-Laravel-React-Keswa-Cairo-Egypt?o=27&l=sp&t=sj&a=php|search-v3|hpb
PHP Laravel Developer,Exceed -,"Cairo, Egypt ",Confidential,"['Full Time', 'Work From Home']",Experienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · MySQL · PHP · API · Computer Science · Software Development · REST · Information Technology (IT),https://wuzzuf.net/jobs/p/5aUKAeJqfUj6-PHP-Laravel-Developer-Exceed-Cairo-Egypt?o=28&l=sp&t=sj&a=php|search-v3|hpb
Full Stack PHP Developer,Al Hayat Capital -,"Nasr City, Cairo, Egypt ",Confidential,['Full Time'],Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP developer · PHP · Full Stack php · developer · JavaScript · Computer Science · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/70XVbgMM9U01-Full-Stack-PHP-Developer-Al-Hayat-Capital-Cairo-Egypt?o=29&l=sp&t=sj&a=php|search-v3|hpb
PHP Laravel Senior Programmer (Remotely At Home),Confidential -,"Gharbia, Egypt ",Confidential,['Full Time'],Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · php · laravel · Laravel Senior · Laravel nova · Computer Science · Information Technology (IT) · Js · Vue,https://wuzzuf.net/jobs/p/G0bacBwmCe0w-PHP-Laravel-Senior-Programmer-Remotely-At-Home-Gharbia-Egypt?o=30&l=sp&t=sj&a=php|search-v3|hpb
